broad_area,Latitude,Longitude
NAIT/Kingway,,
Boyle Street/McCauley,,
Castle Downs,53.6215429,-113.5251023
Alberta Avenue,53.5685056,-113.48521
Mill Woods,53.458437,-113.430232
Blue Quill,53.4583001,-113.5274199
Strathcona,53.5226241,-113.489176
Jasper Place,53.540691,-113.5986874
Bonnie Doon,53.5242604,-113.466853
West Edmonton,53.5071578,-113.629865
Calder/Kensington,,
Oliver/Downtown,53.5386016,-113.49687245280046
Albany/Cumberland,,
North Central,53.5521057,-113.49423025530417
University Area,53.5236299,-113.52643446785447
Meadowlark/Jasper Place,53.5255163,-113.596378
Downtown,53.5412696,-113.5004528
Red Deer,,
The Meadows,53.46384,-113.3677809
